from	target_from
chr10:119764426-119806114	RAB11FIP2
chr10:119793436-119793936	.
chr10:119795083-119796040	.
chr10:119805268-119806723	.
chr10:119918086-119918687	.
chr10:119926378-119926878	.
chr10:120000709-120001209	.
chr10:120031502-120032439	.
chr10:120032485-120032985	.
chr10:120035591-120036231	.
chr10:120066703-120067203	.
chr10:120068571-120101839	FAM204A
chr10:120101220-120102333	.
chr10:120327740-120328583	.
chr10:120330471-120330971	.
chr10:120353880-120354380	.
chr10:120384809-120385453	.
chr10:120387713-120388213	.
chr10:120388656-120389245	.
chr10:120428757-120429517	.
chr10:120440493-120514758	CACUL1
chr10:120485337-120486189	.
chr10:120489148-120489648	.
chr10:120494014-120494514	.
chr10:120513611-120515008	.
chr10:120629893-120630554	.
chr10:120719361-120720310	.
chr10:120725650-120726150	.
chr10:120794540-120840334	EIF3A
chr10:12083693-12086056	.
chr10:120839109-120840919	.
chr10:120863576-120897496	FAM45A
chr10:120863628-120897376	FAM45BP
chr10:120900424-120925204	SFXN4
chr10:120924150-120925871	.
chr10:120927210-120938377	PRDX3
chr10:120937710-120938627	.
chr10:120943066-120944061	.
chr10:120965966-120967493	.
chr10:120967196-121215131	GRK5
chr10:120968574-120969421	.
chr10:120970543-120971129	.
chr10:120977188-120978203	.
chr10:120980698-120981624	.
chr10:120982032-120982532	.
chr10:120993190-120994041	.
chr10:121006446-121007091	.
chr10:121009999-121011241	.
chr10:121012780-121013984	.
chr10:121030104-121031369	.
chr10:121034998-121035498	.
chr10:121040922-121041422	.
chr10:121044244-121044744	.
chr10:121045121-121046116	.
chr10:121047781-121049150	.
chr10:121065282-121065979	.
chr10:121073953-121074453	.
chr10:121074979-121075574	.
chr10:121076141-121076722	.
chr10:121076851-121077351	.
chr10:121100138-121100638	.
chr10:121100885-121101943	.
chr10:121108284-121109224	.
chr10:12110915-12165227	DHTKD1
chr10:121110049-121110622	.
chr10:121119706-121120430	.
chr10:121121443-121122382	.
chr10:121124105-121124833	.
chr10:121128658-121129457	.
chr10:121129831-121130331	.
chr10:121130345-121131088	.
chr10:121134983-121135832	.
chr10:12115446-12115946	.
chr10:121161032-121161997	.
chr10:121168702-121169202	.
chr10:121169396-121169979	.
chr10:121171595-121172280	.
chr10:121173164-121174227	.
chr10:121238493-121239202	.
chr10:121253669-121254735	.
chr10:121259338-121296045	RGS10
chr10:121275806-121276306	.
chr10:121286203-121286703	.
chr10:121288174-121288798	.
chr10:121290536-121291036	.
chr10:121302026-121303390	.
chr10:121332977-121356541	TIAL1
chr10:121334940-121335918	.
chr10:121410413-121411156	.
chr10:121410881-121437329	BAG3
chr10:121411644-121412676	.
chr10:121415168-121415668	.
chr10:121417731-121418231	.
chr10:121427187-121427769	.
chr10:121445929-121446600	.
chr10:121475159-121476036	.
chr10:121483967-121484977	.
chr10:121485219-121486183	.
chr10:121485558-121588662	INPP5F
chr10:121510069-121510569	.
chr10:121577486-121578392	.
chr10:121588915-121632395	MCMBP
chr10:121651611-121652384	.
chr10:121652084-121704170	SEC23IP
chr10:121655695-121656195	.
chr10:121656366-121656866	.
chr10:121706783-121707283	.
chr10:12171007-12171889	.
chr10:12171639-12211957	SEC61A2
chr10:12172244-12172744	.
chr10:12207326-12238143	NUDT5
chr10:122216465-122349376	PLPP4
chr10:12236783-12238660	.
chr10:12237960-12292589	CDC123
chr10:12256602-12257337	.
chr10:122610686-122669038	WDR11
chr10:12265860-12266844	.
chr10:122688668-122689247	.
chr10:122702277-122703242	.
chr10:122708315-122708904	.
chr10:12277756-12278256	.
chr10:122886846-122887600	.
chr10:122887606-122888106	.
chr10:12306106-12306805	.
chr10:123071932-123073394	.
chr10:12312811-12313311	.
chr10:123196468-123197547	.
chr10:123219146-123219646	.
chr10:123237843-123357972	FGFR2
chr10:123315929-123316523	.
chr10:123356385-123357074	.
chr10:123357509-123358604	.
chr10:123374509-123375304	.
chr10:123427773-123428606	.
chr10:123461782-123462574	.
chr10:123468863-123469758	.
chr10:123493960-123494632	.
chr10:123495885-123496776	.
chr10:123499935-123687578	ATE1
chr10:123659998-123660498	.
chr10:123686588-123688148	.
chr10:123687826-123711480	ATE1-AS1
chr10:123716602-123734743	NSMCE4A
chr10:123748688-124014060	TACC2
chr10:12375477-12376052	.
chr10:123803733-123804662	.
chr10:123813493-123814626	.
chr10:123858298-123859012	.
chr10:123871653-123874274	.
chr10:123886707-123887207	.
chr10:123900372-123901171	.
chr10:123907981-123908542	.
chr10:123908574-123909172	.
chr10:123909479-123909979	.
chr10:123913970-123914952	.
chr10:12391541-12868463	CAMK1D
chr10:124058211-124058711	.
chr10:124066997-124068026	.
chr10:124100547-124101047	.
chr10:124101867-124102600	.
chr10:124134093-124191871	PLEKHA1
chr10:124166758-124167757	.
chr10:12416873-12417936	.
chr10:124219003-124219913	.
chr10:124221040-124274424	HTRA1
chr10:124221968-124223071	.
chr10:124223335-124223835	.
chr10:124228165-124228910	.
chr10:124228911-124229411	.
chr10:124233623-124234393	.
chr10:124234468-124235073	.
chr10:124245173-124245877	.
chr10:124250605-124251105	.
chr10:124251244-124251744	.
chr10:124252323-124252823	.
chr10:124254853-124255469	.
chr10:124257997-124258497	.
chr10:124258532-124259602	.
chr10:124264023-124264523	.
chr10:124289630-124290130	.
chr10:12432567-12433695	.
chr10:124591670-124639157	FAM24B-CUZD1
chr10:124608609-124639157	FAM24B
chr10:124639148-124658230	LOC399815
chr10:124690418-124713919	C10orf88
chr10:124713510-124714385	.
chr10:124739555-124749907	PSTK
chr10:124750321-124768366	IKZF5
chr10:124767243-124767743	.
chr10:124768113-124768753	.
chr10:124768428-124817806	ACADSB
chr10:124802800-124803300	.
chr10:12487172-12489096	.
chr10:12490293-12491105	.
chr10:124913413-124914087	.
chr10:124913759-124924886	BUB3
chr10:12540933-12542041	.
chr10:125505151-125651500	CPXM2
chr10:125649490-125650928	.
chr10:125673193-125673941	.
chr10:12571768-12572453	.
chr10:12573148-12573996	.
chr10:125753859-125754567	.
chr10:125754738-125756280	.
chr10:125756800-125757516	.
chr10:125762194-125762694	.
chr10:125765492-125765992	.
chr10:125770018-125770900	.
chr10:125776264-125776764	.
chr10:125779168-125851940	CHST15
chr10:125789316-125789816	.
chr10:125792344-125793988	.
chr10:125807399-125808786	.
chr10:125823087-125824013	.
chr10:125824182-125824682	.
chr10:125834129-125835535	.
chr10:125844930-125846120	.
chr10:125864590-125866151	.
chr10:12596935-12597560	.
chr10:126028443-126028943	.
chr10:126043076-126043782	.
chr10:126076990-126078229	.
chr10:126085871-126107545	OAT
chr10:126150009-126151154	.
chr10:126150340-126302710	LHPP
chr10:126182579-126183299	.
chr10:126211836-126212336	.
chr10:126218633-126219133	.
chr10:126219541-126220293	.
chr10:126220828-126221411	.
chr10:126222728-126223228	.
chr10:126224545-126225045	.
chr10:126227274-126227774	.
chr10:126228664-126229164	.
chr10:126246491-126246991	.
chr10:126248770-126249406	.
chr10:126277152-126278765	.
chr10:126307862-126432930	FAM53B
chr10:126307865-126308823	.
chr10:126310159-126310659	.
chr10:126314239-126314739	.
chr10:126329234-126330359	.
chr10:126334879-126336012	.
chr10:126336238-126336833	.
chr10:126337325-126338360	.
chr10:126341582-126342082	.
chr10:126342378-126342878	.
chr10:126346262-126346857	.
chr10:126356149-126356649	.
chr10:126366234-126367047	.
chr10:126372350-126372850	.
chr10:126375531-126376031	.
chr10:126392596-126403329	FAM53B-AS1
chr10:126410168-126410668	.
chr10:126411927-126412618	.
chr10:126416522-126417369	.
chr10:126417645-126418236	.
chr10:126421685-126422471	.
chr10:126424916-126425700	.
chr10:126428423-126429725	.
chr10:126429776-126430276	.
chr10:126431239-126432080	.
chr10:126446399-126480510	EEF1AKMT2
chr10:12647559-12648381	.
chr10:126479677-126481214	.
chr10:126490353-126525239	FAM175B
chr10:126594991-126595618	.
chr10:126599658-126600708	.
chr10:126605131-126606973	.
chr10:126630691-126676005	ZRANB1
chr10:126631215-126631997	.
chr10:126632150-126632650	.
chr10:126654477-126654977	.
chr10:126659402-126660211	.
chr10:126676417-126847687	CTBP2
chr10:126680887-126681481	.
chr10:126688094-126689231	.
chr10:126689530-126690279	.
chr10:126690333-126690833	.
chr10:126700428-126701314	.
chr10:126702997-126703497	.
chr10:126703911-126705851	.
chr10:126712311-126712811	.
chr10:126713773-126714556	.
chr10:126730667-126731644	.
chr10:126736403-126737529	.
chr10:126745582-126746828	.
chr10:126749408-126750027	.
chr10:126753221-126753721	.
chr10:126772706-126773206	.
chr10:126773243-126774682	.
chr10:126802254-126802901	.
chr10:126812015-126813195	.
chr10:126822950-126823566	.
chr10:126833330-126834008	.
chr10:126835457-126836234	.
chr10:126836617-126837117	.
chr10:126837772-126838272	.
chr10:126841191-126842720	.
chr10:126843162-126844103	.
chr10:126848304-126850930	.
chr10:126897969-126898607	.
chr10:127393858-127408062	FLJ37035
chr10:12739568-12740267	.
chr10:127398074-127399205	.
chr10:127407171-127408720	.
chr10:127408083-127452712	EDRF1
chr10:12741109-12741759	.
chr10:127456806-127457306	.
chr10:127477146-127511837	UROS
chr10:12748869-12750094	.
chr10:12750887-12751387	.
chr10:127512103-127542264	BCCIP
chr10:127524908-127569884	DHX32
chr10:12753031-12753531	.
chr10:127533191-127533922	.
chr10:127537775-127538275	.
chr10:127539438-127540161	.
chr10:127574295-127575474	.
chr10:127580664-127581443	.
chr10:127585107-127698161	FANK1
chr10:12762265-12762882	.
chr10:127670822-127671503	.
chr10:12769132-12769632	.
chr10:127729910-128077127	ADAM12
chr10:12773109-12773609	.
chr10:127746649-127747400	.
chr10:127748543-127749632	.
chr10:127750937-127751521	.
chr10:127769277-127771049	.
chr10:127775498-127776321	.
chr10:127776556-127777152	.
chr10:127793209-127793841	.
chr10:127798885-127799854	.
chr10:127818694-127819457	.
chr10:127822773-127823385	.
chr10:127836553-127837495	.
chr10:127842206-127842846	.
chr10:127844971-127845471	.
chr10:127859987-127860685	.
chr10:127863988-127865616	.
chr10:127904228-127905580	.
chr10:127913390-127914637	.
chr10:127928999-127929499	.
chr10:127930819-127932057	.
chr10:127935728-127936560	.
chr10:127938422-127940010	.
chr10:127941686-127942339	.
chr10:127950709-127951854	.
chr10:127952925-127953691	.
chr10:127957024-127958093	.
chr10:128003664-128004831	.
chr10:128009386-128010557	.
chr10:128039124-128039624	.
chr10:128074857-128076505	.
chr10:128079429-128080353	.
chr10:12811145-12811804	.
chr10:128593977-129250781	DOCK1
chr10:128596202-128596702	.
chr10:128607739-128608323	.
chr10:12872017-12872517	.
chr10:12881889-12882794	.
chr10:128822880-128823380	.
chr10:12886632-12887592	.
chr10:12891130-12891630	.
chr10:129026303-129026929	.
chr10:129216172-129217692	.
chr10:129222698-129223198	.
chr10:12930450-12930950	.
chr10:12938624-13043704	CCDC3
chr10:12943820-12944544	.
chr10:12947858-12948358	.
chr10:12951739-12952781	.
chr10:129600785-129601285	.
chr10:129705324-129884119	PTPRE
chr10:129762914-129763414	.
chr10:129775223-129776354	.
chr10:129789021-129790119	.
chr10:13001996-13003032	.
chr10:13003186-13003810	.
chr10:13022685-13023352	.
chr10:13035472-13036072	.
chr10:13041430-13041930	.
chr10:130485582-130486082	.
chr10:13060084-13060584	.
chr10:130653011-130653706	.
chr10:130725001-130726137	.
chr10:130829723-130830223	.
chr10:130844480-130844980	.
chr10:130894466-130895216	.
chr10:130903492-130903992	.
chr10:131196844-131197344	.
chr10:131265447-131565884	MGMT
chr10:13130171-13130671	.
